key,value,label,zoom,usa only
man_made,water_tower,water_tower,18,false
man_made,water_well,water_well,18,false
man_made,water_works,water_works,18,false
man_made,works,works,18,false
natural,bare_rock,bare_rock,18,false
natural,bay,bay,18,false
natural,bay,bay,18,false
natural,beach,beach,18,false
natural,beach,beach,18,false
natural,cave_entrance,cave_entrance,18,false
natural,cliff,cliff,18,false
natural,grassland,grassland,18,false
natural,land,land,18,false
natural,peak,peak,18,false
natural,ridge,ridge,18,false
natural,rock,rock,18,false
natural,saddle,saddle,18,false
natural,scrub,scrub,18,false
natural,spring,spring,18,false
natural,tree,tree,18,false
natural,tree,tree,18,false
natural,water,water,18,false
natural,wetland,wetland,18,false
natural,wood,wood,18,false
place,farm,farm,18,false
place,island,island,18,false
place,islet,islet,18,false
place,village,village,18,false
power,cable_distribution_cabinet,cable_distribution_cabinet,18,false
power,generator,generator,18,false
power,line,line,18,false
power,pole,pole,18,false
power,portal,portal,18,false
power,station,powerstation,18,false
power,station,station,18,false
power,sub_station,sub_station,18,false
power,substation,substation,18,false
power,switch,switch,18,false
power,tower,tower,18,false
power,transformer,powertransformer,18,false
power,transformer,transformer,18,false
power_source,wind,wind,18,false
tourism,alpine_hut,alpine_hut,18,false
tourism,artwork,artwork,18,false
tourism,attraction,attraction,18,false
tourism,camp_site,camp_site,18,false
tourism,caravan_site,caravan_site,18,false
tourism,chalet,chalet,18,false
tourism,guest_house,guest_house,18,false
tourism,hostel,hostel,18,false
tourism,hotel,hotel,18,false
tourism,information,information,18,false
tourism,motel,motel,18,false
tourism,museum,museum,18,false
tourism,picnic_site,picnic_site,18,false
tourism,viewpoint,viewpoint,18,false
tourism,zoo,zoo,18,false
waterway,canal,canal,18,false
waterway,dam,dam,18,false
waterway,lock_gate,lock_gate,18,false
waterway,rapids,rapids,18,false
waterway,river,river,18,false
waterway,stream,stream,18,false
waterway,waterfall,waterfall,18,false
waterway,weir,weir,18,false
